Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,1,Team Liquid,3.6k,0.4k,Eco: 0-5k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,1,Natus Vincere,3.5k,0.3k,Eco: 0-5k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,2,Team Liquid,15.6k,4.1k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,2,Natus Vincere,4.2k,6.4k,Eco: 0-5k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,3,Team Liquid,13.3k,14.8k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,3,Natus Vincere,18.2k,0.3k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,4,Team Liquid,21.4k,18.1k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,4,Natus Vincere,7.4k,8.9k,Semi-eco: 5-10k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,5,Team Liquid,23.6k,29.4k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,5,Natus Vincere,20.3k,4.3k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,6,Team Liquid,22.2k,17.4k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,6,Natus Vincere,21.3k,12.1k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,7,Team Liquid,22.0k,16.4k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,7,Natus Vincere,19.7k,5.1k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,8,Team Liquid,19.8k,9.4k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,8,Natus Vincere,19.7k,8.2k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,9,Team Liquid,19.0k,3.7k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,9,Natus Vincere,21.1k,13.9k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,10,Team Liquid,19.0k,4.2k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,10,Natus Vincere,22.9k,21.7k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,11,Team Liquid,22.4k,14.8k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,11,Natus Vincere,24.1k,15.5k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,12,Team Liquid,22.1k,2.5k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,12,Natus Vincere,25.5k,26.1k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,13,Team Liquid,3.9k,0.2k,Eco: 0-5k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,13,Natus Vincere,3.9k,0.3k,Eco: 0-5k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,14,Team Liquid,12.3k,4.3k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,14,Natus Vincere,4.9k,8.1k,Eco: 0-5k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,15,Team Liquid,18.4k,14.6k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,15,Natus Vincere,19.4k,1.1k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,16,Team Liquid,22.4k,3.1k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,16,Natus Vincere,21.7k,12.2k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,17,Team Liquid,7.6k,9.2k,Semi-eco: 5-10k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,17,Natus Vincere,22.9k,20.4k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,18,Team Liquid,21.1k,3.8k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,18,Natus Vincere,22.9k,26.3k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,19,Team Liquid,21.9k,10.0k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,19,Natus Vincere,23.5k,13.2k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,20,Team Liquid,18.3k,4.3k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,20,Natus Vincere,23.7k,18.5k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,21,Team Liquid,8.0k,10.0k,Semi-eco: 5-10k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,21,Natus Vincere,24.7k,26.7k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,22,Team Liquid,23.7k,2.9k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,22,Natus Vincere,23.5k,19.3k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,23,Team Liquid,25.3k,7.4k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,23,Natus Vincere,20.9k,9.6k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,24,Team Liquid,27.6k,11.2k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,24,Natus Vincere,21.6k,1.7k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,1,Team Liquid,4.0k,0.1k,Eco: 0-5k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,1,Natus Vincere,4.0k,0.4k,Eco: 0-5k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,2,Team Liquid,13.7k,5.4k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,2,Natus Vincere,4.4k,6.5k,Eco: 0-5k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,3,Team Liquid,14.2k,18.8k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,3,Natus Vincere,18.5k,0.4k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,4,Team Liquid,21.5k,7.5k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,4,Natus Vincere,19.6k,8.1k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,5,Team Liquid,17.3k,4.6k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,5,Natus Vincere,23.8k,12.4k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,6,Team Liquid,20.3k,2.7k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,6,Natus Vincere,24.0k,20.5k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,7,Team Liquid,8.5k,11.0k,Semi-eco: 5-10k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,7,Natus Vincere,25.0k,24.3k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,8,Team Liquid,21.1k,5.2k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,8,Natus Vincere,24.8k,24.0k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,9,Team Liquid,21.1k,6.1k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,9,Natus Vincere,22.0k,14.3k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,10,Team Liquid,22.9k,8.4k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,10,Natus Vincere,22.4k,6.6k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,11,Team Liquid,19.7k,13.7k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,11,Natus Vincere,21.0k,1.7k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,12,Team Liquid,24.8k,16.0k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,12,Natus Vincere,16.6k,1.0k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,13,Team Liquid,3.6k,0.3k,Eco: 0-5k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,13,Natus Vincere,4.0k,0.4k,Eco: 0-5k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,14,Team Liquid,3.7k,6.9k,Eco: 0-5k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,14,Natus Vincere,14.7k,5.4k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,15,Team Liquid,20.3k,7.3k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,15,Natus Vincere,19.7k,2.5k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,16,Team Liquid,7.9k,10.5k,Semi-eco: 5-10k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,16,Natus Vincere,21.8k,6.4k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,17,Team Liquid,21.6k,3.0k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,17,Natus Vincere,18.2k,10.7k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,18,Team Liquid,10.1k,8.8k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,18,Natus Vincere,22.6k,15.6k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,19,Team Liquid,21.9k,3.2k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,19,Natus Vincere,23.0k,14.5k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,20,Team Liquid,17.4k,1.5k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,20,Natus Vincere,23.2k,16.1k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,21,Team Liquid,20.5k,7.4k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,21,Natus Vincere,22.0k,5.8k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,22,Team Liquid,22.3k,16.3k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,22,Natus Vincere,11.0k,8.2k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,23,Team Liquid,25.0k,17.7k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,23,Natus Vincere,20.8k,3.8k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,24,Team Liquid,25.9k,3.8k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,24,Natus Vincere,24.8k,8.6k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,25,Team Liquid,23.8k,1.1k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,25,Natus Vincere,23.3k,1.9k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,26,Team Liquid,23.8k,0.8k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,26,Natus Vincere,24.0k,1.4k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,27,Team Liquid,23.6k,1.1k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,27,Natus Vincere,22.8k,2.4k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,28,Team Liquid,23.7k,0.9k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,28,Natus Vincere,24.0k,1.4k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,29,Team Liquid,24.1k,1.1k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,29,Natus Vincere,23.5k,1.7k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,30,Team Liquid,23.5k,1.1k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,30,Natus Vincere,23.8k,1.6k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,31,Team Liquid,23.7k,1.1k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,31,Natus Vincere,23.6k,1.6k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,32,Team Liquid,23.1k,1.4k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,32,Natus Vincere,23.5k,1.9k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,1,DRX,4.1k,0.1k,Eco: 0-5k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,1,LOUD,3.7k,0.3k,Eco: 0-5k,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,2,DRX,2.2k,8.4k,Eco: 0-5k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,2,LOUD,14.3k,3.4k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,3,DRX,19.9k,3.9k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,3,LOUD,13.7k,11.1k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,4,DRX,19.0k,1.3k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,4,LOUD,21.1k,11.8k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,5,DRX,8.2k,8.8k,Semi-eco: 5-10k,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,5,LOUD,22.3k,19.7k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,6,DRX,21.1k,9.4k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,6,LOUD,21.1k,10.9k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,7,DRX,22.6k,17.2k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,7,LOUD,19.8k,3.6k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,8,DRX,23.3k,20.9k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,8,LOUD,18.1k,2.9k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,9,DRX,23.1k,28.7k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,9,LOUD,10.0k,7.3k,Semi-eco: 5-10k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,10,DRX,23.6k,28.0k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,10,LOUD,19.9k,3.5k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,11,DRX,23.5k,22.0k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,11,LOUD,12.8k,7.0k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,12,DRX,24.5k,19.6k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,12,LOUD,22.1k,1.2k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,13,DRX,3.6k,0.2k,Eco: 0-5k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,13,LOUD,4.0k,0.2k,Eco: 0-5k,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,14,DRX,1.8k,8.5k,Eco: 0-5k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,14,LOUD,15.5k,3.8k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,15,DRX,19.1k,1.4k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,15,LOUD,19.4k,14.0k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,16,DRX,18.4k,2.7k,Semi-buy: 10-20k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,16,LOUD,20.8k,5.5k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,17,DRX,8.7k,8.3k,Semi-eco: 5-10k,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,17,LOUD,21.2k,18.5k,Full buy: 20k+,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,18,DRX,19.0k,2.8k,Semi-buy: 10-20k,Win
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,18,LOUD,23.0k,26.9k,Full buy: 20k+,Loss
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,19,DRX,19.7k,11.1k,Semi-buy: 10-20k,Win
